1;Calle 19, 1195;-35.6596645;-63.7496913;
2;Calle 24, 979;-35.6613130;-63.7475215;
3;Calle 23, 1514;-35.6590070;-63.7442525;
4;José Hernández, 1033;-35.6580071;-63.7422624;
5;Calle 25, 1768;-35.6579164;-63.7410518;
6;Calle 36, 1176;-35.6581907;-63.7399149;
7;Calle 38 Bis, 1115;-35.6566661;-63.7391118;
8;Calle 40, 1275;-35.6574787;-63.7371715;
9;Calle 40, 1495;-35.6591149;-63.7351604;
10;Calle 44, 1505;-35.6577826;-63.7331056;
11;Domingo Ilria, 2374;-35.6561403;-63.7316665;
12;Calle 500;-35.6530995;-63.7311023;
13;Calle 40 Bis, 1820;-35.6610729;-63.7316723;
14;Calle 37, 2015;-35.6606063;-63.7329168;
15;Calle 40, 1400;-35.6582956;-63.7359719;
16;Calle 33, 1775;-35.6610524;-63.7371908;
17;Calle 33, 1630;-35.6620048;-63.7385404;
18;Calle 33, 1540;-35.6627032;-63.7394142;
19;Calle 33, 1260;-35.6647901;-63.7420786;
20;Calle 33, 1055;-35.6664795;-63.7439118;
21;Calle 20, 1593;-35.6675433;-63.7436824;
22;Calle 20, 1699;-35.6683452;-63.7427025;
23;Terminal De Ómnibus De Gral. Pico;-35.6705523;-63.7430903;
24;Avenida San Martín, 1700;-35.6697034;-63.7444826;
25;Calle 33, 700;-35.6692906;-63.7476153;
26;Calle 14, 2425;-35.6769939;-63.7399380;
27;Calle 25, 510;-35.6674819;-63.7529555;
28;Calle 21, 505;-35.6661118;-63.7547078;
29;Calle 10, 920;-35.6670242;-63.7554769;
30;Calle 15, 481;-35.6637210;-63.7583794;
31;Calle 17, 1125;-35.6592820;-63.7510617;
32;Calle 22, 618;-35.6580700;-63.7529683;
33;Calle 13, 920;-35.6591447;-63.7550839;
34;Calle 13, 710;-35.6609998;-63.7571275;
35;Calle 11, 407;-35.6626146;-63.7608280;
36;Calle 10, 100;-35.6594780;-63.7647153;
37;10 Norte, 24;-35.6586990;-63.7659278;
38;10 Norte, 199;-35.6573137;-63.7673403;
39;10 Norte, 605;-35.6540918;-63.7712914;
40;Calle 113, 474;-35.6528289;-63.7717737;
41;Larralde, 216;-35.6541199;-63.7750613;
42;Larralde, 156;-35.6545747;-63.7756335;
43;Larralde, 56;-35.6553241;-63.7764882;
44;Lisandro De La Torre, 926;-35.6548548;-63.7778216;
45;Calle 333;-35.6546300;-63.7812066;
46;Calle 304, 1834;-35.6565571;-63.7811402;
47;Calle 304, 1694;-35.6580971;-63.7811530;
48;Calle 327;-35.6579202;-63.7840588;
49;Calle 300, 1479;-35.6603867;-63.7783106;
50;Calle 300, 1365;-35.6617773;-63.7782946;
51;Calle 300;-35.6653974;-63.7783581;
52;Calle 313, 12;-35.6659974;-63.7785554;
53;Calle 112 Norte, 179;-35.6651599;-63.7767715;
54;Calle 112 Norte, 2;-35.6663710;-63.7750223;
55;Calle 112, 109;-35.6674216;-63.7739845;
56;Olascoaga, 730;-35.6697005;-63.7738777;
57;Calle 116, 199;-35.6693968;-63.7752337;
58;Calle 116, 361;-35.6705385;-63.7738253;
59;Calle 116, 496;-35.6716036;-63.7723024;
60;Calle 116, 585;-35.6724271;-63.7715968;
61;Calle 116, 685;-35.6732103;-63.7706315;
62;25 De Mayo, 532;-35.6721143;-63.7670992;
63;Calle 17 Bis, 426;-35.6543081;-63.7437388;
64;Calle 108, 554;-35.6690788;-63.7679152;
65;Calle 11 Oeste, 31;-35.6693297;-63.7692342;
66;Calle 11, 141;-35.6647139;-63.7633854;
67;España, 299;-35.6636030;-63.7620078;
68;Calle 16, 701;-35.6621096;-63.7562626;
69;Calle 19, 899;-35.6609816;-63.7516762;
70;Calle 7, 1109;-35.6555770;-63.7559437;
71;Calle 22, 54;-35.6536985;-63.7583318;
72;Calle 22 Norte, 96;-35.6527419;-63.7597311;
73;Calle 26 Norte, 179;-35.6505341;-63.7585948;
74;Calle 103, 1358;-35.6498805;-63.7584289;
75;Calle 107, 1375;-35.6483350;-63.7600286;
76;Calle 26 Norte, 523;-35.6477179;-63.7617413;
77;Calle 111, 1334;-35.6469420;-63.7623547;
78;Calle 111, 1499;-35.6458967;-63.7607983;
79;Dr. Anselmo Palau, 649;-35.6445823;-63.7601525;
80;Avenida Circunvalación, 668;-35.6434774;-63.7604703;
81;Calle 405, 911;-35.6408651;-63.7673607;
82;Calle 430, 206;-35.6405624;-63.7602446;
83;Calle 432, 269;-35.6399773;-63.7590905;
84;Calle 407 Bis, 1696;-35.6388425;-63.7622987;
85;Calle 440, 336;-35.6390213;-63.7541892;
86;Calle 440, 473;-35.6376278;-63.7543473;
87;Calle 444, 925;-35.6373165;-63.7515223;
88;Calle 446, 1026;-35.6359763;-63.7502389;
89;Calle 446, 738;-35.6348418;-63.7502598;
90;Calle 446, 1063;-35.6345931;-63.7501938;
91;Calle 417;-35.6339169;-63.7695689;
92;Calle 452 Y Calle 413;-35.6362848;-63.7466494;
93;Calle 407, 2479;-35.6394795;-63.7480395;
94;Avenida Circunvalación, 41;-35.6434697;-63.7477221;
95;Calle 48, 220;-35.6451617;-63.7445135;
96;Alfonsina Storni, 281;-35.6441907;-63.7598125;
97;Calle 52, 426;-35.6451989;-63.7407119;
98;Calle 52, 579;-35.6463445;-63.7395037;
99;Calle 52, 755;-35.6477771;-63.7377340;
100;Calle 17, 2400;-35.6496274;-63.7393466;
101;Calle 48, 600;-35.6479932;-63.7410848;
102;20 De Septiembre, 2000;-35.6513907;-63.7452977;
103;Calle 13, 1868;-35.6521339;-63.7462226;
